Date,Day,Open,High,Low,Close,Volume
2024-11-01 07:17:00,5,70414.3,70429.1,70414.2,70429.1,0.23867734
2024-11-01 07:18:00,5,70429,70463.7,70429,70468,1.50587613
2024-11-01 07:19:00,5,70463.6,70459.8,70436,70463.6,2.77992714
2024-11-01 07:20:00,5,70459.9,70437.2,70436.3,70471.8,1.3535262
2024-11-01 07:21:00,5,70437.1,70421.1,70421.1,70449.9,1.11672696
2024-11-01 07:22:00,5,70421.2,70370,70370,70421.7,2.75111684
2024-11-01 07:23:00,5,70370.1,70402.9,70370,70403,0.60834385
2024-11-01 07:24:00,5,70403,70403.7,70384.1,70405.9,1.65594125
2024-11-01 07:25:00,5,70403.8,70412.7,70386.5,70419.4,1.09582389
2024-11-01 07:26:00,5,70412.7,70394.9,70384,70412.7,3.83638843
2024-11-01 07:27:00,5,70395.9,70469.8,70395.9,70469.9,1.28100605
2024-11-01 07:28:00,5,70469.9,70419.2,70419.2,70470.1,4.60593216
2024-11-01 07:29:00,5,70419.3,70430.4,70419.2,70450.6,1.41047939
2024-11-01 07:30:00,5,70430.5,70423.6,70406,70430.5,1.39717013
2024-11-01 07:31:00,5,70423.6,70376.4,70370,70423.6,3.50043356
2024-11-01 07:32:00,5,70376.9,70343.9,70343.9,70380,1.25024535
2024-11-01 07:33:00,5,70342.1,70306.7,70306.7,70342.1,4.58911043
2024-11-01 07:34:00,5,70306.7,70236,70233.3,70306.7,8.81691352
2024-11-01 07:35:00,5,70236.1,70227,70214.2,70248.9,2.37371478
2024-11-01 07:36:00,5,70228,70214.6,70214.6,70251.8,2.34315945
2024-11-01 07:37:00,5,70214.6,70204.5,70204.5,70237.9,1.97567795
2024-11-01 07:38:00,5,70204.4,70201.1,70201.1,70213,0.91858764
2024-11-01 07:39:00,5,70201.2,70158.8,70130.4,70201.2,12.39976298
2024-11-01 07:40:00,5,70158.8,70203.2,70158.7,70216,2.14237123
2024-11-01 07:41:00,5,70203.3,70224.9,70200,70230.7,1.60213124
2024-11-01 07:42:00,5,70224.8,70293.2,70224.8,70307.5,7.83382941
2024-11-01 07:43:00,5,70293.1,70266.9,70266.9,70300,1.04533475
2024-11-01 07:44:00,5,70267,70258.1,70240.1,70267.6,0.52341931
2024-11-01 07:45:00,5,70258,70232.3,70229.2,70264,1.4492963
2024-11-01 07:46:00,5,70232.3,70263.9,70212,70263.9,5.46720253
2024-11-01 07:47:00,5,70265.8,70302,70265.8,70348.2,5.50202043
2024-11-01 07:48:00,5,70302.1,70350,70300.3,70365.3,6.53894193
2024-11-01 07:49:00,5,70350,70385.9,70334.6,70386,1.92417243
2024-11-01 07:50:00,5,70386,70329.4,70329.4,70386,1.01296759
2024-11-01 07:51:00,5,70329.9,70324.1,70320,70335.6,1.55884558
2024-11-01 07:52:00,5,70324.2,70310.4,70306,70333.3,0.34679936
2024-11-01 07:53:00,5,70310.3,70287,70287,70310.7,0.34007613
2024-11-01 07:54:00,5,70287.1,70279.4,70279.4,70289.8,0.93123729
2024-11-01 07:55:00,5,70279.5,70248.9,70248.9,70279.5,1.97269409
2024-11-01 07:56:00,5,70249,70250,70248.9,70260,0.32981304
2024-11-01 07:57:00,5,70250.1,70234,70230,70250.1,0.52031099
2024-11-01 07:58:00,5,70234,70182.1,70162.8,70234,6.90134707
2024-11-01 07:59:00,5,70182.1,70172,70172,70184,1.0142494
2024-11-01 08:00:00,5,70172,70195.7,70167,70196,1.9958733
2024-11-01 08:01:00,5,70195.6,70169.6,70168.1,70205.2,1.16293008
2024-11-01 08:02:00,5,70169.7,70183.8,70169.7,70207.1,2.69985284
2024-11-01 08:03:00,5,70183.9,70220.9,70183.9,70221,3.29835424
2024-11-01 08:04:00,5,70220.9,70227.6,70220.9,70252.1,3.25378304
2024-11-01 08:05:00,5,70227.6,70212,70198,70230,1.35578816
2024-11-01 08:06:00,5,70212,70274.2,70210,70280.6,3.61932255
2024-11-01 08:07:00,5,70271,70270.1,70253.3,70275.9,1.36912533
2024-11-01 08:08:00,5,70270.1,70271.9,70253,70272,0.95583731
2024-11-01 08:09:00,5,70272.6,70249.9,70227.6,70272.6,7.9610752
2024-11-01 08:10:00,5,70249.9,70233,70224,70256.8,1.53694609
2024-11-01 08:11:00,5,70232.9,70290.9,70229.6,70294.1,1.53741873
2024-11-01 08:12:00,5,70290.5,70297.1,70286,70297.2,0.27407769
2024-11-01 08:13:00,5,70297.1,70356.8,70297.1,70356.9,1.37636299
2024-11-01 08:14:00,5,70356.8,70342,70336,70370.8,6.86008022
2024-11-01 08:15:00,5,70342,70314,70314,70342,11.00985744
2024-11-01 08:16:00,5,70314.1,70326,70314,70332.1,15.72388986
2024-11-01 08:17:00,5,70326,70274,70274,70326,4.72819613
2024-11-01 08:18:00,5,70274.1,70266.8,70242.9,70274.1,0.83211872
2024-11-01 08:19:00,5,70266.8,70197.4,70197.4,70266.8,1.158444
2024-11-01 08:20:00,5,70197.3,70150.1,70150,70203.9,2.86925221
2024-11-01 08:21:00,5,70150,70123.5,70108.5,70160.6,8.60088535
2024-11-01 08:22:00,5,70123.5,70066.2,70066.1,70123.6,9.72071679
2024-11-01 08:23:00,5,70066.2,70100.7,70022,70100.7,19.51835446
2024-11-01 08:24:00,5,70100.7,70089,70079.5,70138,2.24236189
2024-11-01 08:25:00,5,70089.3,70049.9,70044.5,70089.3,2.11320475
2024-11-01 08:26:00,5,70049.9,70058.5,70032,70069,2.35959256
2024-11-01 08:27:00,5,70058.5,70073.9,70050,70074,3.0419795
2024-11-01 08:28:00,5,70073.9,70050,70038,70073.9,11.69933422
2024-11-01 08:29:00,5,70050.1,70048.1,70044.6,70058,2.72921263
2024-11-01 08:30:00,5,70048.1,69963.8,69963.8,70048.1,30.76309625
2024-11-01 08:31:00,5,69963.8,69747.9,69726,69967.6,65.94281952
2024-11-01 08:32:00,5,69747.9,69664,69607.1,69853.5,65.50009696
2024-11-01 08:33:00,5,69663.9,69716.2,69517.3,69717.9,66.11326561
2024-11-01 08:34:00,5,69716.5,69738.9,69690,69756,18.44364231
2024-11-01 08:35:00,5,69738.9,69889.9,69696,69890,16.00587438
2024-11-01 08:36:00,5,69890,69917.5,69814.1,69949.9,11.31350097
2024-11-01 08:37:00,5,69918.5,69837.8,69824.1,69924.9,8.55300073
2024-11-01 08:38:00,5,69837.8,69871.6,69816.1,69878.6,9.60782477
2024-11-01 08:39:00,5,69870.5,69829.6,69816.1,69870.5,4.01239843
2024-11-01 08:40:00,5,69828.7,69800.1,69780,69845.9,28.00807237
2024-11-01 08:41:00,5,69798.5,69865.6,69762,69885.5,3.48665463
2024-11-01 08:42:00,5,69867,69941,69854,69941,2.7266085
2024-11-01 08:43:00,5,69941,69962,69920,69972.2,4.68103904
2024-11-01 08:44:00,5,69962,69924.1,69910,69962,2.67731102
2024-11-01 08:45:00,5,69924.2,69966,69909.5,69969.5,3.83220373
2024-11-01 08:46:00,5,69966.1,69999.9,69966,70062.8,27.54289619
2024-11-01 08:47:00,5,69999.9,69932.7,69929.6,69999.9,9.93610535
2024-11-01 08:48:00,5,69930,69859.5,69852.1,69935.5,26.74336363
2024-11-01 08:49:00,5,69860,69789.8,69772.5,69864.4,16.09631169
2024-11-01 08:50:00,5,69789.9,69492.7,69449.3,69790,115.9007456
2024-11-01 08:51:00,5,69492.8,69668,69474.9,69673.2,31.95892619
2024-11-01 08:52:00,5,69668,69687.6,69633.3,69705.8,12.28423246
2024-11-01 08:53:00,5,69687.6,69615.5,69589.5,69691,14.92387298
2024-11-01 08:54:00,5,69615.5,69624.2,69551.5,69634,7.12782929
2024-11-01 08:55:00,5,69625.9,69548.4,69534.1,69626,6.61752629
2024-11-01 08:56:00,5,69548.5,69317,69304.1,69550.8,38.21852247
2024-11-01 08:57:00,5,69320,69390.1,69320,69470,20.2600532
2024-11-01 08:58:00,5,69390,69403.9,69340,69421.8,9.6153527
2024-11-01 08:59:00,5,69404,69400,69380.7,69461.1,9.46564721
2024-11-01 09:00:00,5,69400,69465.2,69355.9,69536.6,17.53070524
2024-11-01 09:01:00,5,69467.6,69485.2,69436.3,69528.1,7.36108075
2024-11-01 09:02:00,5,69486,69470.1,69461.5,69535.9,13.8292333
2024-11-01 09:03:00,5,69470,69214.1,69194,69470,63.56366922
2024-11-01 09:04:00,5,69214.5,69117.9,69100.1,69244.3,59.31039591
2024-11-01 09:05:00,5,69118,69220.7,69118,69238,27.87838312
2024-11-01 09:06:00,5,69220.5,69107.3,69100.9,69231.6,41.44144861
2024-11-01 09:07:00,5,69107.2,69105.5,69100,69172,42.99184277
2024-11-01 09:08:00,5,69105.6,69060.6,69055,69120.1,46.17341792
2024-11-01 09:09:00,5,69060.5,69007.1,68957.8,69074.3,89.2407633
2024-11-01 09:10:00,5,69005.3,68884.2,68829.9,69005.3,74.64605848
2024-11-01 09:11:00,5,68886.3,68994.1,68850,69027.9,53.44195522
2024-11-01 09:12:00,5,68996.2,68910.5,68864.5,69007.9,17.29039676
2024-11-01 09:13:00,5,68913.5,68890.1,68864.1,68949.8,15.82594544
2024-11-01 09:14:00,5,68895.9,69042,68890,69050,17.60522175
2024-11-01 09:15:00,5,69044.9,69084.5,69035.7,69176.6,29.35379639
2024-11-01 09:16:00,5,69083.3,69222.3,69075,69222.3,9.4823422
2024-11-01 09:17:00,5,69222.3,69235.9,69134.9,69236,8.54054573
2024-11-01 09:18:00,5,69235.9,69228.5,69210.6,69279,6.44297346
2024-11-01 09:19:00,5,69228.6,69254,69220.1,69298,3.46365701
2024-11-01 09:20:00,5,69254.1,69291.2,69254,69299.9,2.74711054
2024-11-01 09:21:00,5,69290.1,69321.4,69266,69348,6.31728548
2024-11-01 09:22:00,5,69321.5,69340,69298,69384,6.6814037
2024-11-01 09:23:00,5,69339.2,69246,69245.5,69348.2,6.93434014
2024-11-01 09:24:00,5,69245.9,69311.9,69228,69312.6,7.10120341
2024-11-01 09:25:00,5,69311.8,69324.4,69252.1,69329.5,9.98550898
2024-11-01 09:26:00,5,69324.5,69264.1,69264,69363.3,7.6413895
2024-11-01 09:27:00,5,69264.1,69322.7,69252,69354,10.31713337
2024-11-01 09:28:00,5,69322.8,69358.8,69280.2,69370.9,4.3835563
2024-11-01 09:29:00,5,69359.4,69387.5,69337.5,69434,4.64938837
2024-11-01 09:30:00,5,69386.1,69356,69350,69386.1,6.87203283
2024-11-01 09:31:00,5,69356.1,69363.3,69304.1,69365.8,5.7665046
2024-11-01 09:32:00,5,69363.9,69320,69310.1,69371.8,4.21681554
2024-11-01 09:33:00,5,69321.5,69368,69319.9,69374.9,17.04023004
2024-11-01 09:34:00,5,69369.5,69426.5,69368.1,69437.9,6.07315531
2024-11-01 09:35:00,5,69426.5,69421.9,69374.9,69426.5,15.23546917
2024-11-01 09:36:00,5,69422,69419.8,69400.8,69440,4.87521796
2024-11-01 09:37:00,5,69419.8,69435.9,69402,69436,2.33090368
2024-11-01 09:38:00,5,69435.9,69460.1,69435.9,69489.9,6.25410316
2024-11-01 09:39:00,5,69460,69471.8,69451.3,69499.9,11.00049457
2024-11-01 09:40:00,5,69471.8,69437.6,69422.7,69485.5,4.59511058
2024-11-01 09:41:00,5,69437.7,69456.9,69424,69457.1,2.16772774
2024-11-01 09:42:00,5,69456.1,69372.5,69372.5,69469.6,24.35375708
2024-11-01 09:43:00,5,69372.6,69358.1,69332,69372.6,1.31096405
2024-11-01 09:44:00,5,69358,69320,69320,69359.2,1.75636371
2024-11-01 09:45:00,5,69320,69273.1,69244.5,69320,20.53070971
2024-11-01 09:46:00,5,69273.2,69286.4,69273.1,69313.9,4.46707443
2024-11-01 09:47:00,5,69286,69247.5,69247.5,69286.1,2.67807356
2024-11-01 09:48:00,5,69248.9,69235.6,69233,69263.9,4.5597418
2024-11-01 09:49:00,5,69235.6,69160,69160,69235.7,9.0941868
2024-11-01 09:50:00,5,69160,69267.9,69138.5,69268,12.62609179
2024-11-01 09:51:00,5,69268,69361.8,69260,69361.9,7.70749344
2024-11-01 09:52:00,5,69361.8,69377.2,69361.5,69405.9,1.71735082
2024-11-01 09:53:00,5,69377.2,69378.9,69347,69384.2,4.29820874
2024-11-01 09:54:00,5,69379,69430,69376.1,69458.6,16.55147908
2024-11-01 09:55:00,5,69430,69471.9,69418.1,69471.9,3.78072086
2024-11-01 09:56:00,5,69471.7,69564.5,69465,69576.2,7.36772554
2024-11-01 09:57:00,5,69564.5,69575.4,69526,69597.8,20.56575938
2024-11-01 09:58:00,5,69575.4,69520.6,69516,69577.6,18.68633225
2024-11-01 09:59:00,5,69520.7,69570.5,69520.6,69575.5,3.51596834
2024-11-01 10:00:00,5,69571.3,69580,69556.6,69585.4,4.01213407
2024-11-01 10:01:00,5,69579.9,69541.8,69530,69589.9,7.92229896
2024-11-01 10:02:00,5,69541.9,69513.9,69502.9,69543.4,11.68003616
2024-11-01 10:03:00,5,69514,69515.5,69508.6,69535.7,4.05287129
2024-11-01 10:04:00,5,69515.6,69513.8,69490,69529.6,6.52216617
2024-11-01 10:05:00,5,69513.7,69569.9,69490,69580.9,6.01694319
2024-11-01 10:06:00,5,69569.8,69565.8,69550.1,69598,2.24886535
2024-11-01 10:07:00,5,69565.7,69580,69556,69600,1.83597531
2024-11-01 10:08:00,5,69580.1,69636,69580,69636,2.78503016
2024-11-01 10:09:00,5,69635.9,69626.1,69606,69636,4.45730668
2024-11-01 10:10:00,5,69626,69592.7,69592.7,69640.2,8.5216851
2024-11-01 10:11:00,5,69592.6,69593.9,69572,69600,7.21221713
2024-11-01 10:12:00,5,69595.8,69563.9,69558,69596,5.96217246
2024-11-01 10:13:00,5,69564,69550,69550,69579.9,4.98891084
2024-11-01 10:14:00,5,69550.1,69558.8,69520,69558.8,5.33654878
2024-11-01 10:15:00,5,69560,69585.6,69535.8,69585.6,4.46666445
2024-11-01 10:16:00,5,69586,69621,69574.1,69627.4,1.8681331
2024-11-01 10:17:00,5,69621.1,69613,69592.7,69628,1.34326412
2024-11-01 10:18:00,5,69613,69628,69605.6,69628,1.07789294
2024-11-01 10:19:00,5,69628,69649.9,69616,69650,1.08542824
2024-11-01 10:20:00,5,69650,69634.9,69623,69653.9,14.35206098
2024-11-01 10:21:00,5,69635,69631.9,69610,69635,12.5867484
2024-11-01 10:22:00,5,69632,69637.6,69618.7,69652,4.71123861
2024-11-01 10:23:00,5,69637.6,69672.6,69635.9,69672.6,2.61141671
2024-11-01 10:24:00,5,69673.1,69666.2,69662,69700,2.38802153
2024-11-01 10:25:00,5,69666.3,69703.9,69666.2,69703.9,2.27940689
2024-11-01 10:26:00,5,69703.9,69666.1,69652.8,69710,3.56467495
2024-11-01 10:27:00,5,69666,69627.4,69626,69666,2.36499409
2024-11-01 10:28:00,5,69629.8,69640,69629.8,69653.5,2.32273793
2024-11-01 10:29:00,5,69640,69638.1,69621.5,69647,4.91024579
